Part_Index, Phi, Col_Index, Layer, Sigma
0,0.011314,0,0.000000,36301.839822
0,0.011314,1,0.000000,72851.758871
0,0.011314,2,0.000000,109652.742297
0,0.011314,3,0.000000,146707.748077
0,0.011314,4,0.000000,184019.707253
0,0.011314,5,0.000000,221591.524185
0,0.011314,6,0.000000,259426.076789
0,0.011314,7,0.000000,297526.216780
0,0.011314,8,0.000000,335894.769910
0,0.011314,9,0.000000,374534.536204
0,0.011314,10,0.000000,413448.290196
0,0.011314,11,0.000000,452638.781158
0,0.011314,12,0.000000,492108.733332
0,0.011314,13,0.000000,531860.846159
0,0.011314,14,0.000000,571897.794502
0,0.011314,15,0.000000,612222.228872
0,0.011314,16,0.000000,652836.775647
0,0.011314,17,0.000000,693744.037296
0,0.011314,18,0.000000,734946.592593
0,0.011314,19,0.000000,776446.996834
0,0.011314,20,0.000000,818247.782051
0,0.011314,21,0.000000,860351.457223
0,0.011314,22,0.000000,902760.508487
0,0.011314,23,0.000000,945477.399345
0,0.011314,24,0.000000,988504.570871
0,0.011314,25,0.000000,1031844.441914
0,0.011314,26,0.000000,1075499.409302
0,0.011314,27,0.000000,1119471.848039
0,0.011314,28,0.000000,1163764.111509
0,0.011314,29,0.000000,1208378.531669
0,0.011314,30,0.000000,1253317.419244
0,0.011314,31,0.000000,1298583.063923
0,0.011314,32,0.000000,1344177.734547
0,0.011314,33,0.000000,1390103.679304
0,0.011314,34,0.000000,1436363.125909
0,0.011314,35,0.000000,1482958.281800
0,0.011314,36,0.000000,1529891.334315
0,0.011314,37,0.000000,1577164.450877
0,0.011314,38,0.000000,1624779.779179
0,0.011314,39,0.000000,1672739.447357
0,0.011314,40,0.000000,1721045.564175
0,0.011314,41,0.000000,1769700.219196
0,0.011314,42,0.000000,1818705.482961
0,0.011314,43,0.000000,1868063.407157
0,0.011314,44,0.000000,1917776.024795
0,0.011314,45,0.000000,1967845.350374
0,0.011314,46,0.000000,2018273.380054
0,0.011314,47,0.000000,2069062.091822
0,0.011314,48,0.000000,2120213.445654
0,0.011314,49,0.000000,2171729.383684
0,0.011314,50,0.000000,2223611.830364
0,0.011314,51,0.000000,2275862.692624
0,0.011314,52,0.000000,2328483.860034
0,0.011314,53,0.000000,2381477.204959
0,0.011314,54,0.000000,2434844.582718
0,0.011314,55,0.000000,2488587.831741
0,0.011314,56,0.000000,2542708.773716
0,0.011314,57,0.000000,2597209.213750
0,0.011314,58,0.000000,2652090.940512
0,0.011314,59,0.000000,2707355.726388
0,0.011314,60,0.000000,2763005.327629
0,0.011314,61,0.000000,2819041.484494
0,0.011314,62,0.000000,2875465.921399
0,0.011314,63,0.000000,2932280.347062
0,0.011314,64,0.000000,2989486.454641
0,0.011314,65,0.000000,3047085.921881
0,0.011314,66,0.000000,3105080.411253
0,0.011314,67,0.000000,3163471.570090
0,0.011314,68,0.000000,3222261.030730
0,0.011314,69,0.000000,3281450.410646
0,0.011314,70,0.000000,3341041.312588
0,0.011314,71,0.000000,3401035.324713
0,0.011314,72,0.000000,3461434.020718
0,0.011314,73,0.000000,3522238.959975
0,0.011314,74,0.000000,3583451.687656
0,0.011314,75,0.000000,3645073.734867
0,0.011314,76,0.000000,3707106.618774
0,0.011314,77,0.000000,3769551.842731
0,0.011314,78,0.000000,3832410.896402
0,0.011314,79,0.000000,3895685.255892
0,0.011314,80,0.000000,3959376.383865
0,0.011314,81,0.000000,4023485.729670
0,0.011314,82,0.000000,4088014.729458
0,0.011314,83,0.000000,4152964.806309
0,0.011314,84,0.000000,4218337.370342
0,0.011314,85,0.000000,4284133.818841
0,0.011314,86,0.000000,4350355.536369
0,0.011314,87,0.000000,4417003.894880
0,0.011314,88,0.000000,4484080.253841
0,0.011314,89,0.000000,4551585.960340
0,0.011314,90,0.000000,4619522.349200
0,0.011314,91,0.000000,4687890.743095
0,0.011314,92,0.000000,4756692.452652
0,0.011314,93,0.000000,4825928.776569
0,0.011314,94,0.000000,4895601.001719
0,0.011314,95,0.000000,4965710.403259
0,0.011314,96,0.000000,5036258.244737
0,0.011314,97,0.000000,5107245.778196
0,0.011314,98,0.000000,5178674.244281
0,0.011314,99,0.000000,5250544.872342
0,0.011314,100,0.000000,5322858.880536
0,0.011314,101,0.000000,5395617.475929
0,0.011314,102,0.000000,5468821.854599
0,0.011314,103,0.000000,5542473.201733
0,0.011314,104,0.000000,5616572.691728
0,0.011314,105,0.000000,5691121.488289
0,0.011314,106,0.000000,5766120.744528
0,0.011314,107,0.000000,5841571.603055
0,0.011314,108,0.000000,5917475.196080
0,0.011314,109,0.000000,5993832.645504
0,0.011314,110,0.000000,6070645.063016
0,0.011314,111,0.000000,6147913.550179
0,0.011314,112,0.000000,6225639.198532
0,0.011314,113,0.000000,6303823.089673
0,0.011314,114,0.000000,6382466.295356
0,0.011314,115,0.000000,6461569.877572
0,0.011314,116,0.000000,6541134.888650
0,0.011314,117,0.000000,6621162.371333
0,0.011314,118,0.000000,6701653.358872
0,0.011314,119,0.000000,6782608.875112
0,0.011314,120,0.000000,6864029.934577
0,0.011314,121,0.000000,6945917.542551
0,0.011314,122,0.000000,7028272.695170
0,0.011314,123,0.000000,7111096.379497
0,0.011314,124,0.000000,7194389.573612
0,0.011314,125,0.000000,7278153.246686
0,0.011314,126,0.000000,7362388.359071
0,0.011314,127,0.000000,7447095.862372
0,0.011314,128,0.000000,7532276.699531
0,0.011314,129,0.000000,7617931.804908
0,0.011314,130,0.000000,7704062.104352
0,0.011314,131,0.000000,7790668.515285
0,0.011314,132,0.000000,7877751.946777
0,0.011314,133,0.000000,7965313.299621
0,0.011314,134,0.000000,8053353.466408
0,0.011314,135,0.000000,8141873.331603
0,0.011314,136,0.000000,8230873.771619
0,0.011314,137,0.000000,8320355.654889
0,0.011314,138,0.000000,8410319.841941
0,0.011314,139,0.000000,8500767.185468
0,0.011314,140,0.000000,8591698.530397
0,0.011314,141,0.000000,8683114.713967
0,0.011314,142,0.000000,8775016.565792
0,0.011314,143,0.000000,8867404.907932
0,0.011314,144,0.000000,8960280.554965
0,0.011314,145,0.000000,9053644.314051
0,0.011314,146,0.000000,9147496.985003
0,0.011314,147,0.000000,9241839.360350
0,0.011314,148,0.000000,9336672.225408
0,0.011314,149,0.000000,9431996.358341
0,0.011314,150,0.000000,9527812.530230
0,0.011314,151,0.000000,9624121.505136
0,0.011314,152,0.000000,9720924.040161
0,0.011314,153,0.000000,9818220.885517
0,0.011314,154,0.000000,9916012.784585
0,0.011314,155,0.000000,10014300.473978
0,0.011314,156,0.000000,10113084.683602
0,0.011314,157,0.000000,10212366.136719
0,0.011314,158,0.000000,10312145.550004
0,0.011314,159,0.000000,10412423.633609
0,0.011314,160,0.000000,10513201.091220
0,0.011314,161,0.000000,10614478.620117
0,0.011314,162,0.000000,10716256.911230
0,0.011314,163,0.000000,10818536.649200
0,0.011314,164,0.000000,10921318.512436
0,0.011314,165,0.000000,11024603.173167
0,0.011314,166,0.000000,11128391.297505
0,0.011314,167,0.000000,11232683.545495
0,0.011314,168,0.000000,11337480.571176
0,0.011314,169,0.000000,11442783.022629
0,0.011314,170,0.000000,11548591.542036
0,0.011314,171,0.000000,11654906.765733
0,0.011314,172,0.000000,11761729.324262
0,0.011314,173,0.000000,11869059.842425
0,0.011314,174,0.000000,11976898.939333
0,0.011314,175,0.000000,12085247.228464
0,0.011314,176,0.000000,12194105.317709
0,0.011314,177,0.000000,12303473.809424
0,0.011314,178,0.000000,12413353.300481
0,0.011314,179,0.000000,12523744.382320
0,0.011314,180,0.000000,12634647.640994
0,0.011314,181,0.000000,12746063.657220
0,0.011314,182,0.000000,12857993.006431
0,0.011314,183,0.000000,12970436.258817
0,0.011314,184,0.000000,13083393.979381
0,0.011314,185,0.000000,13196866.727979
0,0.011314,186,0.000000,13310855.059371
0,0.011314,187,0.000000,13425359.523266
0,0.011314,188,0.000000,13540380.664368
0,0.011314,189,0.000000,13655919.022423
0,0.011314,190,0.000000,13771975.132262
0,0.011314,191,0.000000,13888549.523846
0,0.011314,192,0.000000,14005642.722313
0,0.011314,193,0.000000,14123255.248018
0,0.011314,194,0.000000,14241387.616581
0,0.011314,195,0.000000,14360040.338924
0,0.011314,196,0.000000,14479213.921321
0,0.011314,197,0.000000,14598908.865434
0,0.011314,198,0.000000,14719125.668360
0,0.011314,199,0.000000,14839864.822669
