gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,total_fall_time,wind_sum_x,wind_sum_y,actual_mass
0,0,300.9900000000,0.0000883883,1966.7500000000,656.4702808037,50.3613566393,0.2879808003,656.4702808037,0.0000000000,13129.4056160736,118797.6525441302
0,1,600.9800000000,0.0000000000,0.0000000000,656.4702808037,87.6842147814,1.1519232013,1312.9405616074,0.0000000000,26258.8112321473,470390.7050232224
0,2,900.9700000000,0.0000000000,0.0000000000,656.4702808037,121.2814622430,2.5918272029,1969.4108424110,0.0000000000,39388.2168482209,1047579.2997073296
0,3,1200.9600000000,0.0000000000,0.0000000000,656.4702808037,152.6670851403,4.6076928051,2625.8811232147,0.0000000000,52517.6224642946,1843163.5788665041
0,4,1500.9500000000,0.0000000000,0.0000000000,656.4702808037,182.5044356370,7.1995200080,3282.3514040184,0.0000000000,65647.0280803682,2849943.6847707997
0,5,1800.9400000000,0.0000000000,0.0000000000,656.4702808037,211.1632905461,10.3673088115,3938.8216848221,0.0000000000,78776.4336964419,4060719.7596902680
0,6,2100.9300000000,0.0000000000,0.0000000000,656.4702808037,238.8778341072,14.1110592157,4595.2919656258,0.0000000000,91905.8393125155,5468291.9458949612
0,7,2400.9200000000,0.0000000000,0.0000000000,656.4702808037,265.8088339314,18.4307712205,5251.7622464295,0.0000000000,105035.2449285892,7065460.3856549338
0,8,2700.9100000000,0.0000000000,0.0000000000,656.4702808037,292.0730112406,23.3264448259,5908.2325272331,0.0000000000,118164.6505446628,8845025.2212402355
0,9,3000.9000000000,0.0000000000,0.0000000000,656.4702808037,317.7586784957,28.7980800320,6564.7028080368,0.0000000000,131294.0561607365,10799786.5949209221
0,10,3300.8900000000,0.0000000000,0.0000000000,656.4702808037,342.9348083146,34.8456768387,7221.1730888405,0.0000000000,144423.4617768101,12922544.6489670444
0,11,3600.8800000000,0.0000000000,0.0000000000,656.4702808037,367.6566430648,41.4692352461,7877.6433696442,0.0000000000,157552.8673928838,15206099.5256486572
0,12,3900.8700000000,0.0000000000,0.0000000000,656.4702808037,391.9693443758,48.6687552541,8534.1136504479,0.0000000000,170682.2730089574,17643251.3672358096
0,13,4200.8600000000,0.0000000000,0.0000000000,656.4702808037,415.9104660820,56.4442368627,9190.5839312516,0.0000000000,183811.6786250310,20226800.3159985617
0,14,4500.8500000000,0.0000000000,0.0000000000,656.4702808037,439.5116870743,64.7956800720,9847.0542120552,0.0000000000,196941.0842411047,22949546.5142069645
0,15,4800.8400000000,0.0000000000,0.0000000000,656.4702808037,462.8000602161,73.7230848819,10503.5244928589,0.0000000000,210070.4898571783,25804290.1041310579
0,16,5100.8300000000,0.0000000000,0.0000000000,656.4702808037,485.7989343100,83.2264512925,11159.9947736626,0.0000000000,223199.8954732519,28783831.2280409187
0,17,5400.8200000000,0.0000000000,0.0000000000,656.4702808037,508.5286489183,93.3057793037,11816.4650544663,0.0000000000,236329.3010893256,31880970.0282065682
0,18,5700.8100000000,0.0000000000,0.0000000000,656.4702808037,531.0070675144,103.9610689155,12472.9353352700,0.0000000000,249458.7067053992,35088506.6468980908
0,19,6000.8000000000,0.0000000000,0.0000000000,656.4702808037,553.2499931133,115.1923201280,13129.4056160736,0.0000000000,262588.1123214728,38399241.2263855115
0,20,6300.7900000000,0.0000000000,0.0000000000,656.4702808037,575.2714968634,126.9995329411,13785.8758968773,0.0000000000,275717.5179375465,41805973.9089389145
0,21,6600.7800000000,0.0000000000,0.0000000000,656.4702808037,597.0841811042,139.3827073549,14442.3461776810,0.0000000000,288846.9235536201,45301504.8368283138
0,22,6900.7700000000,0.0000000000,0.0000000000,656.4702808037,618.6993923420,152.3418433693,15098.8164584847,0.0000000000,301976.3291696938,48878634.1523237973
0,23,7200.7600000000,0.0000000000,0.0000000000,656.4702808037,640.1273954392,165.8769409843,15755.2867392884,0.0000000000,315105.7347857674,52530161.9976953939
0,24,7500.7500000000,0.0000000000,0.0000000000,656.4702808037,661.3775174034,179.9880002000,16411.7570200921,0.0000000000,328235.1404018410,56248888.5152131692
0,25,7800.7400000000,0.0000000000,0.0000000000,656.4702808037,682.4582670823,194.6750210163,17068.2273008957,0.0000000000,341364.5460179147,60027613.8471471667
0,26,8100.7300000000,0.0000000000,0.0000000000,656.4702808037,703.3774355740,209.9380034333,17724.6975816994,0.0000000000,354493.9516339883,63859138.1357674450
0,27,8400.7200000000,0.0000000000,0.0000000000,656.4702808037,724.1421810568,225.7769474509,18381.1678625031,0.0000000000,367623.3572500619,67736261.5233440548
